cycle_id,report_date,generated_at_utc,generated_at_local,domain,today,today_order,future,future_order,driver,future_driver,horizon
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Águas balneares,Sem restrições ativas (21 praia(s) monitorizada(s)),0,Sem previsão,-1,sem praias com desaconselhamento ou interdição no último snapshot,sem praias com desaconselhamento ou interdição no último snapshot,
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Avisos IPMA,Verde,0,Risco moderado - Risco de Incêndio Rural,1,Risco de incêndio rural: Risco de Incêndio Rural,Risco de incêndio rural: Risco de Incêndio Rural,Avisos IPMA: previsto em 28/07
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Clima Extremo,Alto (2),2,2026-07-28: Alto (2),2,interior 27.6 ºC; exterior 29.6 ºC; vulnerabilidade 18/24,interior 28.9 ºC; exterior 29.6 ºC; vulnerabilidade 18/24,"Clima Extremo: pico entre hoje e 30/07, tendência a melhorar a partir de 31/07"
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,ÍCARO/FRIESA,FRIESA fora de época,,FRIESA fora de época,,FRIESA fora de época,FRIESA fora de época,
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Índice UV,Muito Alto (8.3),3,2026-07-31: Muito Alto (8.3),3,Proteção extra,Proteção extra,Índice UV: picos em 27/07 e 31/07
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Noites tropicais,IPMA 🟢 Sem critério de noite tropical; Open-Meteo 🟢 Sem critério de noite tropical,0,Open-Meteo 🟡 10/08: Noite tropical prevista,1,IPMA: Tmin 16.9 ºC; sequência 0 noite(s); Open-Meteo: Tmin 18.2 ºC; sequência 0 noite(s),Open-Meteo: Tmin 20.4 ºC; sequência 2 noite(s),Noites tropicais - Open-Meteo: previsto de 10/08 a 11/08
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Onda de calor,IPMA 🟢 Sem critério; Open-Meteo 🟢 Sem critério,0,IPMA 🟢 28/07: Sem critério; Open-Meteo 🟢 28/07: Sem critério,0,critério comparado com a mesma normal IPMA 1991-2020,critério comparado com a mesma normal IPMA 1991-2020,
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Qualidade do ar,Amarelo (1),1,Amanhã: Amarelo (1),1,O3 127 µg/m³ - Amarelo (1); PM2.5 16 µg/m³ - Amarelo (1),O3 141 µg/m³ - Amarelo (1); PM2.5 22 µg/m³ - Amarelo (1),Qualidade do ar: previsto até 28/07
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Stress térmico UTCI,Stress por calor moderado,1,2026-07-28: Sem stress térmico,0,UTCI 27.4 ºC,UTCI 20.3 ºC,"Stress térmico UTCI: pico hoje, tendência a melhorar a partir de 28/07"
2026-07-27-morning,2026-07-27,2026-07-27T12:26:06Z,2026-07-27T13:26:06+0100,Temperatura DSP,IPMA 🟢 Verde; Open-Meteo 🟢 Verde,0,A recalcular com novas observações,-1,IPMA: máx. Verde; mín. Verde; Open-Meteo: máx. Verde; mín. Verde,IPMA: máx. Verde; mín. Verde; Open-Meteo: máx. Verde; mín. Verde,
