metric,horizon_days,horizon_label,n,mean_error_c,mae_c,rmse_c,median_abs_error_c,p90_abs_error_c,min_error_c,max_error_c,municipality_observed_n,station_fallback_n,first_forecast_date,last_forecast_date,calculated_at
tmin_c,0,D+0,90,-0.685,1.003,1.308,0.85,1.9,-4.5,1.45,0,90,2026-05-05,2026-08-03,2026-08-04T11:02:13Z
tmin_c,1,D+1,110,-0.516,1.038,1.341,0.85,1.96,-4.9,2.05,0,110,2026-05-06,2026-08-03,2026-08-04T11:02:13Z
tmin_c,2,D+2,109,-0.551,1.147,1.451,1,2.12,-4.9,2.45,0,109,2026-05-07,2026-08-03,2026-08-04T11:02:13Z
tmin_c,3,D+3,108,-0.53,1.035,1.335,0.825,2.05,-4.8,1.9,0,108,2026-05-08,2026-08-03,2026-08-04T11:02:13Z
tmin_c,4,D+4,107,-0.582,1.129,1.493,0.85,2.1,-5.3,2.55,0,107,2026-05-09,2026-08-03,2026-08-04T11:02:13Z
tmin_c,5,D+5,106,-0.728,1.274,1.706,1,2.425,-6.6,2.1,0,106,2026-05-10,2026-08-03,2026-08-04T11:02:13Z
tmin_c,6,D+6,105,-0.708,1.413,1.905,1.05,2.71,-7.7,3.15,0,105,2026-05-11,2026-08-03,2026-08-04T11:02:13Z
tmin_c,7,D+7,104,-0.739,1.527,2.014,1.3,2.89,-8.6,2.75,0,104,2026-05-12,2026-08-03,2026-08-04T11:02:13Z
tmin_c,8,D+8,103,-0.63,1.522,2.029,1.25,2.77,-9,2.8,0,103,2026-05-13,2026-08-03,2026-08-04T11:02:13Z
tmin_c,9,D+9,102,-0.534,1.534,2.006,1.25,2.94,-7.8,4.35,0,102,2026-05-14,2026-08-03,2026-08-04T11:02:13Z
tmax_c,0,D+0,90,-1.384,1.791,2.37,1.35,3.555,-8.6,2.6,0,90,2026-05-05,2026-08-03,2026-08-04T11:02:13Z
tmax_c,1,D+1,110,-1.366,1.759,2.384,1.15,3.7,-7.9,3.1,0,110,2026-05-06,2026-08-03,2026-08-04T11:02:13Z
tmax_c,2,D+2,109,-1.2,1.717,2.327,1.15,3.62,-8.1,3.9,0,109,2026-05-07,2026-08-03,2026-08-04T11:02:13Z
tmax_c,3,D+3,108,-1.292,1.794,2.366,1.15,3.86,-8,4.45,0,108,2026-05-08,2026-08-03,2026-08-04T11:02:13Z
tmax_c,4,D+4,107,-1.277,1.98,2.584,1.4,4.22,-8.2,6.55,0,107,2026-05-09,2026-08-03,2026-08-04T11:02:13Z
tmax_c,5,D+5,106,-1.189,2.173,2.883,1.725,4.475,-9.8,7.25,0,106,2026-05-10,2026-08-03,2026-08-04T11:02:13Z
tmax_c,6,D+6,105,-1.023,2.301,3.108,1.95,4.59,-11.7,8.6,0,105,2026-05-11,2026-08-03,2026-08-04T11:02:13Z
tmax_c,7,D+7,104,-0.978,2.509,3.389,2.05,4.99,-13.8,8,0,104,2026-05-12,2026-08-03,2026-08-04T11:02:13Z
tmax_c,8,D+8,103,-0.779,2.601,3.513,2.15,4.59,-14.7,8.3,0,103,2026-05-13,2026-08-03,2026-08-04T11:02:13Z
tmax_c,9,D+9,102,-0.64,2.577,3.473,1.825,5.16,-13.2,7.6,0,102,2026-05-14,2026-08-03,2026-08-04T11:02:13Z
