source_updated_at,fetched_at,forecast_issue_datetime_utc,forecast_issue_date,forecast_issue_hour_utc,forecast_date,horizon_days,horizon_label,location,district,global_id_local,forecast_tmin_c,observed_tmin_c,error_tmin_c,abs_error_tmin_c,forecast_tmax_c,observed_tmax_c,error_tmax_c,abs_error_tmax_c,observed_source_type,observed_source,observation_status,forecast_source,calculated_at
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-05,0,D+0,Matosinhos,Porto,1130800,10.6,10.4,0.2,0.2,16.5,16.6,-0.1,0.1,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-05T23:00:30Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-06,1,D+1,Matosinhos,Porto,1130800,9,8.95,0.05,0.05,16.8,17.35,-0.55,0.55,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-07T09:23:16Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-07,2,D+2,Matosinhos,Porto,1130800,9.8,9.8,0,0,16.7,17.15,-0.45,0.45,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-08T11:45:54Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-08,3,D+3,Matosinhos,Porto,1130800,10.9,11.5,-0.6,0.6,19.5,18.35,1.15,1.15,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-09T11:12:03Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-09,4,D+4,Matosinhos,Porto,1130800,12.3,12.05,0.25,0.25,16.4,16.95,-0.55,0.55,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-10T11:14:39Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-10,5,D+5,Matosinhos,Porto,1130800,11.7,11.5,0.2,0.2,16.9,17.5,-0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-11T12:50:53Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-11,6,D+6,Matosinhos,Porto,1130800,11.4,12.65,-1.25,1.25,16.8,18.2,-1.4,1.4,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-12T12:23:27Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-12,7,D+7,Matosinhos,Porto,1130800,10.6,12.55,-1.95,1.95,16.8,17.65,-0.85,0.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-13T12:25:10Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-13,8,D+8,Matosinhos,Porto,1130800,10.4,11.65,-1.25,1.25,17.2,18.15,-0.95,0.95,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-14T12:06:09Z
2026-05-05T07:54:33,2026-05-05T16:18:57Z,2026-05-05T07:54:33Z,2026-05-05,07:54,2026-05-14,9,D+9,Matosinhos,Porto,1130800,10.6,9.95,0.65,0.65,17.1,17.95,-0.85,0.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-15T12:09:26Z
