"metric","lead_days","lead_label","n","mean_error_c","mae_c","rmse_c","median_abs_error_c","p90_abs_error_c","min_error_c","max_error_c","first_valid_date","last_valid_date","calculated_at"
"temperature_2m_min_c","0","D+0",977,0.518,1.176,1.449,1,2.4,-5.1,3.9,"2023-12-31","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","1","D+1",958,0.428,1.148,1.429,0.9,2.4,-5,4,"2024-01-19","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","2","D+2",957,0.409,1.175,1.474,1,2.3,-4.9,5.7,"2024-01-20","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","3","D+3",956,0.351,1.214,1.548,1,2.5,-5.2,6.8,"2024-01-21","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","4","D+4",955,0.266,1.285,1.632,1.1,2.6,-5.7,5.1,"2024-01-22","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","5","D+5",954,0.735,1.748,2.227,1.4,3.8,-6,8.4,"2024-01-23","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","6","D+6",953,0.739,1.836,2.347,1.5,4,-6.7,8,"2024-01-24","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_min_c","7","D+7",952,0.052,1.658,2.163,1.3,3.6,-7.2,7.3,"2024-01-25","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","0","D+0",977,-1.115,1.778,2.507,1.1,4.3,-10.3,3.4,"2023-12-31","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","1","D+1",958,-1.263,1.769,2.496,1.2,4.4,-9.9,3.7,"2024-01-19","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","2","D+2",957,-1.238,1.813,2.539,1.2,4.4,-9.4,4.6,"2024-01-20","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","3","D+3",956,-1.233,1.843,2.604,1.2,4.5,-10.7,5.3,"2024-01-21","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","4","D+4",955,-1.295,1.894,2.688,1.2,4.8,-12.8,3.6,"2024-01-22","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","5","D+5",954,-1.099,2.313,3.396,1.5,6,-16.3,10.3,"2024-01-23","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","6","D+6",953,-1.018,2.549,3.577,1.8,6.1,-17.2,9.6,"2024-01-24","2026-09-03","2026-09-10T17:48:24Z"
"temperature_2m_max_c","7","D+7",952,-0.462,1.886,2.533,1.45,4,-11.6,11,"2024-01-25","2026-09-03","2026-09-10T17:48:24Z"
