"calculated_at","valid_date","lead_days","lead_label","location","district","dico","forecast_tmin_c","observed_tmin_c","error_tmin_c","abs_error_tmin_c","forecast_tmax_c","observed_tmax_c","error_tmax_c","abs_error_tmax_c","forecast_source","observed_source","observation_status"
"2026-07-07T11:26:12Z","2023-12-31","0","D+0","Matosinhos","Porto","1308",10.4,9.5,0.9,0.9,14.4,13.2,1.2,1.2,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-01","0","D+0","Matosinhos","Porto","1308",8.1,6,2.1,2.1,13.7,13.1,0.6,0.6,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-02","0","D+0","Matosinhos","Porto","1308",12.8,11.3,1.5,1.5,16,15.6,0.4,0.4,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-03","0","D+0","Matosinhos","Porto","1308",12.2,9.6,2.6,2.6,15.6,15.1,0.5,0.5,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-04","0","D+0","Matosinhos","Porto","1308",10.4,8.8,1.6,1.6,13.9,13.9,0,0,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-05","0","D+0","Matosinhos","Porto","1308",8.9,8.1,0.8,0.8,11.2,11,0.2,0.2,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-06","0","D+0","Matosinhos","Porto","1308",4.2,5,-0.8,0.8,11.9,10.9,1,1,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-07","0","D+0","Matosinhos","Porto","1308",4.7,2.9,1.8,1.8,12.8,11.9,0.9,0.9,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-08","0","D+0","Matosinhos","Porto","1308",5.7,4.4,1.3,1.3,9.9,10.8,-0.9,0.9,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-09","0","D+0","Matosinhos","Porto","1308",8.6,8,0.6,0.6,10.6,10.8,-0.2,0.2,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-10","0","D+0","Matosinhos","Porto","1308",9.7,7.6,2.1,2.1,12.9,13.2,-0.3,0.3,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-11","0","D+0","Matosinhos","Porto","1308",7.4,5.7,1.7,1.7,13.1,11.2,1.9,1.9,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-12","0","D+0","Matosinhos","Porto","1308",6.8,5.6,1.2,1.2,12.4,11.3,1.1,1.1,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-13","0","D+0","Matosinhos","Porto","1308",11.5,9.3,2.2,2.2,15.2,14,1.2,1.2,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-14","0","D+0","Matosinhos","Porto","1308",14.6,12.8,1.8,1.8,15.6,15.4,0.2,0.2,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-15","0","D+0","Matosinhos","Porto","1308",15.2,13.9,1.3,1.3,16.1,15.5,0.6,0.6,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-16","0","D+0","Matosinhos","Porto","1308",15.4,13.7,1.7,1.7,18.5,17.8,0.7,0.7,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-17","0","D+0","Matosinhos","Porto","1308",13.9,12.8,1.1,1.1,15.7,15,0.7,0.7,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-18","0","D+0","Matosinhos","Porto","1308",12.1,10.8,1.3,1.3,14.9,14.5,0.4,0.4,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
"2026-07-07T11:26:12Z","2024-01-19","0","D+0","Matosinhos","Porto","1308",10.9,9,1.9,1.9,15.5,14.5,1,1,"Open-Meteo Previous Runs API","Open-Meteo Historical Weather API (ERA5-Land)","matched_openmeteo_reanalysis"
