"cycle_id","local_date","phase","source","status","started_at_utc","completed_at_utc","exit_code","message"
"2026-05-27-afternoon","2026-05-27","data","IPMA meteorologia","ok","2026-05-27T16:35:57Z","2026-05-27T16:36:01Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK weather - 84 climate temperature row(s) fetched; 30 station observation row(s) fetched. Station observation archive has 912 row(s); station daily fallback has 22 row(s). 105 forecast row(s) fetched; forecast archive has 4255 row(s); latest snapshot has 105 row(s). 10 temperature alert row(s) calculated; temperature report: daily/2026-05-27.md. 10 heat wave row(s) calculated; heat wave report: daily/2026-05-27.md. 95 UTCI row(s) calculated; UTCI report: daily/2026-05-27.md. 10 UV row(s) calculated; UV report: daily/2026-05-27.md."
"2026-05-27-afternoon","2026-05-27","data","SNS/INSA","ok","2026-05-27T16:36:01Z","2026-05-27T16:36:14Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK sns-health - 4288 SNS/INSA health index row(s) collected; archive has 4288 row(s); report: daily/2026-05-27.md."
"2026-05-27-afternoon","2026-05-27","data","Clima Extremo","ok","2026-05-27T16:36:14Z","2026-05-27T16:36:36Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK clima-extremo - 7 row(s) collected; archive has 406 row(s); report: daily/2026-05-27.md."
"2026-05-27-afternoon","2026-05-27","data","Avisos IPMA","ok","2026-05-27T16:36:36Z","2026-05-27T16:36:38Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK alerts - 11 IPMA alert row(s) collected; IPMA alert archive has 505 row(s); IPMA alert report: daily/2026-05-27.md."
"2026-05-27-afternoon","2026-05-27","data","Erro das previsões IPMA","ok","2026-05-27T16:36:38Z","2026-05-27T16:36:39Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK forecast error - 410 forecast row(s), 20 summary row(s)."
"2026-05-27-afternoon","2026-05-27","data","QualAr","ok","2026-05-27T16:36:39Z","2026-05-27T16:36:41Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK - 2 forecast row(s) fetched; CSV now has 24 row(s); daily report: daily/2026-05-27.md."
"2026-05-27-afternoon","2026-05-27","report","Relatório diário","ok","2026-05-27T16:36:41Z","2026-05-27T16:36:42Z","0","OK report - generated daily/2026-05-27.md."
"2026-05-28-morning","2026-05-28","data","IPMA meteorologia","ok","2026-05-28T11:42:26Z","2026-05-28T11:42:30Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK weather - 84 climate temperature row(s) fetched; 35 station observation row(s) fetched. Station observation archive has 943 row(s); station daily fallback has 23 row(s). 105 forecast row(s) fetched; forecast archive has 4360 row(s); latest snapshot has 105 row(s). 10 temperature alert row(s) calculated; temperature report: daily/2026-05-28.md. 10 heat wave row(s) calculated; heat wave report: daily/2026-05-28.md. 95 UTCI row(s) calculated; UTCI report: daily/2026-05-28.md. 10 UV row(s) calculated; UV report: daily/2026-05-28.md."
"2026-05-28-morning","2026-05-28","data","SNS/INSA","ok","2026-05-28T11:42:30Z","2026-05-28T11:42:43Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK sns-health - 4290 SNS/INSA health index row(s) collected; archive has 4290 row(s); report: daily/2026-05-28.md."
"2026-05-28-morning","2026-05-28","data","Clima Extremo","ok","2026-05-28T11:42:43Z","2026-05-28T11:43:02Z","0","Attaching package: ‘dplyr’ | The following objects are masked from ‘package:stats’: | filter, lag | The following objects are masked from ‘package:base’: | intersect, setdiff, setequal, union | OK clima-extremo - 7 row(s) collected; archive has 413 row(s); report: daily/2026-05-28.md."
