scope,segment,reference_id,reference_label,reference_role,issue_cycle,metric,horizon_days,horizon_label,n,high_quality_n,sample_status,first_collection_date,last_collection_date,first_target_date,last_target_date,observed_mean_c,ipma_mean_forecast_c,openmeteo_mean_forecast_c,ipma_bias_c,ipma_bias_ci95_low_c,ipma_bias_ci95_high_c,ipma_bias_signal,ipma_mae_c,ipma_rmse_c,ipma_p90_abs_error_c,ipma_correlation,openmeteo_bias_c,openmeteo_bias_ci95_low_c,openmeteo_bias_ci95_high_c,openmeteo_bias_signal,openmeteo_mae_c,openmeteo_rmse_c,openmeteo_p90_abs_error_c,openmeteo_correlation,ipma_minus_openmeteo_mae_c,ipma_better_n,openmeteo_better_n,tie_n,ipma_better_percent,openmeteo_better_percent,tie_percent,calculated_at
cycle_horizon,all,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,38,38,preliminary,2026-05-29,2026-07-29,2026-05-29,2026-07-29,23.895,21.682,22.297,-2.213,-2.721,-1.705,systematic_underforecast,2.318,2.688,4.23,0.961,-1.597,-1.939,-1.255,systematic_underforecast,1.661,1.899,2.76,0.968,0.658,8,28,2,21.053,73.684,5.263,2026-07-30T10:37:22Z
observed_tmax_band,25-29.9,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,9,9,insufficient,2026-06-11,2026-07-28,2026-06-11,2026-07-28,26.339,22.911,24.033,-3.428,-3.867,-2.988,systematic_underforecast,3.428,3.47,4.22,0.939,-2.306,-3.015,-1.596,systematic_underforecast,2.306,2.464,2.88,0.923,1.122,1,8,0,11.111,88.889,0,2026-07-29T11:00:40Z
observed_tmax_band,<25,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,26,26,limited,2026-05-29,2026-07-29,2026-05-29,2026-07-29,21.844,20.373,20.585,-1.471,-1.944,-0.998,systematic_underforecast,1.625,1.867,2.9,0.797,-1.26,-1.581,-0.938,systematic_underforecast,1.352,1.482,2.15,0.913,0.273,7,17,2,26.923,65.385,7.692,2026-07-30T10:37:22Z
observed_tmax_band,>=30,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,3,3,insufficient,2026-07-03,2026-07-05,2026-07-03,2026-07-05,34.333,29.333,31.933,-5,-6.383,-3.617,systematic_underforecast,5,5.021,5.42,0.978,-2.4,-7.362,2.562,inconclusive,2.4,2.902,3.86,0.99,2.6,0,3,0,0,100,0,2026-07-06T12:25:19Z
target_month,2026-05,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,1,1,insufficient,2026-05-29,2026-05-29,2026-05-29,2026-05-29,20.8,20.3,19.9,-0.5,,,inconclusive,0.5,0.5,0.5,,-0.9,,,inconclusive,0.9,0.9,0.9,,-0.4,1,0,0,100,0,0,2026-05-30T10:24:06Z
target_month,2026-06,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,18,18,limited,2026-06-01,2026-06-28,2026-06-01,2026-06-28,22.172,20.756,20.944,-1.417,-2.044,-0.789,systematic_underforecast,1.606,1.874,2.93,0.931,-1.228,-1.648,-0.808,systematic_underforecast,1.272,1.477,1.79,0.959,0.333,6,11,1,33.333,61.111,5.556,2026-06-29T12:46:53Z
target_month,2026-07,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,0,D+0,19,19,limited,2026-07-03,2026-07-29,2026-07-03,2026-07-29,25.689,22.632,23.705,-3.058,-3.715,-2.401,systematic_underforecast,3.089,3.333,4.54,0.976,-1.984,-2.519,-1.45,systematic_underforecast,2.068,2.259,2.9,0.967,1.021,1,17,1,5.263,89.474,5.263,2026-07-30T10:37:22Z
cycle_horizon,all,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,1,D+1,39,39,preliminary,2026-05-29,2026-07-29,2026-05-30,2026-07-30,24.015,21.61,22.254,-2.405,-2.924,-1.887,systematic_underforecast,2.441,2.877,4.08,0.953,-1.762,-2.104,-1.419,systematic_underforecast,1.854,2.047,2.71,0.974,0.587,9,24,6,23.077,61.538,15.385,2026-07-31T11:05:10Z
observed_tmax_band,25-29.9,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,1,D+1,9,9,insufficient,2026-06-22,2026-07-25,2026-06-23,2026-07-26,25.722,22.244,23.544,-3.478,-4.094,-2.862,systematic_underforecast,3.478,3.559,4.08,0.146,-2.178,-2.589,-1.766,systematic_underforecast,2.178,2.235,2.54,0.759,1.3,0,9,0,0,100,0,2026-07-27T11:48:22Z
observed_tmax_band,<25,mean_complete_stations,Média das estações IPMA com dia completo,primary_actual_observation,afternoon,tmax,1,D+1,26,26,limited,2026-05-29,2026-07-29,2026-05-30,2026-07-30,21.979,20.408,20.631,-1.571,-1.947,-1.195,systematic_underforecast,1.625,1.817,2.8,0.849,-1.348,-1.704,-0.992,systematic_underforecast,1.487,1.601,2.4,0.868,0.138,8,12,6,30.769,46.154,23.077,2026-07-31T11:05:10Z
